author,posted_on,rating,text
"Bryan of Jupiter, FL",42081,1,"We just signed up for Xfinity high speed internet. We have had service for grand total of one week and we have had our second problem with internet issues and have had to call twice already. Today, we have no cable service on TV and no internet because connected to same splitter. Tech will be out on Friday at 1äó_ Itäó»s Wednesday!!! Two days without internet OR TV... We have been a customer for 10+ yrs and have had repeated TV issues. This is just the latest. We have been on hold for 30+ minutes on phone twice now. Really is a joke. Transferred to billing and back to another geography and back and forth."
"J. E. of Kentwood, MI",42081,1,"Comcast implemented a price increase on our internet package. When we called, they offered a higher internet speed and cable package for lower than the original price. When we got the next bill the original price was doubled. Now we're going around in circles, being transferred to multiple people with absolutely no help or answers."
"tricia of Woodstock, GA",42081,1,"Been dealing with this for over 3.5 months, have logged over 180 hours within that time to Comcast and no help or resolutions as of yet... 3.5 months ago receive bill from Comcast that is $550 over normal due to ""data overages"". Yes there are caps of 250 gb monthly but this constitutes over 127,000 GB being used by a single person with one computer, one tv and one cell phone (at&t). I have never streamed a movie, nor play games, never uploaded music etc., immediately call and inquire. Billing points out that three courtesy credits given already and why wasnäó»t I aware?? Because the ""robo"" notification I am supposed to receive is not going to my correct phone #, although billing attest they have the correct #. CS is standing by the fact that the robo calls went to a cell phone no longer owned by me for over 2 years. So I call troubleshooting who is of no help. No sending out a tech to see if router is good, no walking me thru seeing how many devices are on my router, no comparison of monthly usage whereas normally I use less than 50gb in a month. Am told they are working on a ticket which a month later their solution was to correct my phone #. The tech that originally installed the new equipment happened to be my neighbor, since fired from Comcast and moved out 2 mos ago, but his buddies who still live there told me he often left a small door open in security and accessing neighbor's wifi... while he only installed mine on block. He was often ""troubleshooting"" neighbors equipment on off time. I got directed to them after finding out that when turning off all my devices and getting into router, there were 9 devices still listed. So I report this to Comcast, who does nothing.... no tech sent out, no discussions with CS and doesn't even get annotated in a file till January. Once finding out wifi is being used by others, immediately took actions to correct and no problems since but once again with no tech support and have spent the last 3.5 months with tickets opened that go nowhere, another 200 in connection/dis fees, and at least 2-4 hours every fifth day to get reconnected while these supposed tickets are under review. CS has even informed twice that everyone's first data overage credit is never shown on any bill, and one of my points was that regardless of who used data, my third credit should have been the 550. So how would any customer actually know how many times they exceeded data limit as the first credit is not annotated anywhere? So as a last ditch effort try the online help... Spent another 3 hours three nights ago, yet another escalated ticket opened with guarantees to be contacted within 48 hours. 48 hours go by, get back online requesting status of ticket only to be told ""something"" was sent to my personal email address and guess what, they send it to my email with all caps and I never get it. So another escalation ticket gets opened up tonight and services have been off for 5 days and counting.. So Comcast list of issues, notifications never received, no help or support identifying problem and or correcting, billing hours involving ""third"" courtesy credit, sending out questionable tech for installations and for all this joy they want almost 900 dollars in overages/disconnects and I have had no service for 5 days"
"Katherine of Grand Rapids, MI",42080,1,"I had internet through Comcast and was fairly happy with it. However my roommate was interested in trying out TV through them as well. In February, we upgraded our service and ordered the self-install kit. It took almost 2 weeks to get to our residence, they did not even ship it until exactly 7 days after the initial order date. When we received the equipment, the HDMI ports were literally covered up with a sticker and service reps on the phone refused to believe that this could be possible. Finally, they sent out a technician who saw our boxes, was baffled, and explained they must have been faulty. He was very nice and got us new equipment from his truck. The TV was finally working however we were unhappy with the service. Assuming (apparently wrongly) that I was still covered under the money-back guarantee, I call Comcast to downgrade my service back to the internet and after we finally get it worked out. The service rep. says ""oh by the way, you're not covered"" because the change was made to the account 31 days ago. Here's my problem, not only are we being charged for the shipment of the faulty boxes ($9.95), they are also charging us for the technician visit ($39.95) which was only necessary because they sent us faulty equipment! Now, I find out that even though our service didn't get set up until 14 days ago, we have to cover the entirety of what is now a $168 bill."
"Joanell of Atlanta, GA",42079,1,"I recently purchased Comcast in August of 2014. On March 11, 2014 my Comcast went down. After an hour of troubleshooting they explained that a technician would have to come to my house the following Wednesday. I told them that was unacceptable that I needed a security system. Comcast repeatedly lied about having someone come out sooner and after several days of I trying to cancel the service they told me although the error was Comcast fault I still would have to pay an early termination fee and still have to wait until a technician to come to my home. I have been hung up on twice, not able to get a direct number for the home security department since that is not option on the phone, lied by a customer service agent telling me that the phone doesn't work and putting in escalation tickets that aren't true."
"Wanos of Portland, OR",42078,1,"I worked for Comcast for a few years as a billing rep. There are a few customers who often call in to cheat the system, with things such as ""I didn't order that PPV"" etc. However, there are legit customer complaints. We in the billing department did our best to listen to their concerns and help them out. My boss at the time, ** (out of the Beaverton, Oregon office), said his sister called into Comcast to get service. They promised her free install charges, but when she received the bill, she was charged installation fees. All the stories we heard about shady sales reps was quite true. He was upset. I'm not sure what happened after that though. When I had quit Comcast for a different employer, I was helping my fiancí©e (poor college student) with her Comcast bills. We called to downgrade and were transferred a few times, and finally to their retention department. The retention rep promised they would lower the bill by about $25. The next bill that arrived did not reflect that. We called again and spoke with 2 people, one of whom used to be a coworker I knew in the Advocates department. They claimed there was absolutely no records of the call we made. We canceled the Comcast service in response. Not too long ago, I hear of Comcast's partnership with UPS. I drop off my model as the rules stated. I'm still being charged $12 a month for a modem fee half a year later. A few calls to them and we get nowhere, even when they have record that I switched out my own modem!!! Needless to say, an unrelated issue arose where I now have to file for bankruptcy so I stopped paying for Comcast (since I'm down to $150 in the bank anyways). I am surely going to include that evil company in my debt discharge list because that is the only way to fight their cheating unreturned equipment charge. I am currently using Internet from my phone and just using Netflix. I am unwavering and completely against supporting this malicious company financially in any way, shape or form. Accordingly, I will never, ever, purchase any products from them again or recommend them as a company to anyone at all, completely out of principle."
"Frank of Bonita Springs, FL",42075,1,"Called last week to complain about slow Internet (downloads about 1-2Mbs according to Bandwidthplace.com. After IDing myself to their IVR system, I repeated the info to a rep, Told about my problem. Asked all kinds of questions about the modem and router. Said that it was their equipment so they should know all about it. She couldn't help so transferred me to their ""Advanced"" support. Repeated all the ID info and then was asked about the problem. Said that they would try to fix and call back in two days.Obviously, no help so I called back and they scheduled a tech to come on Sat PM. He arrived on time and checked signal strength and said the problem is in their system. Service drop is old and loss is above their standard. He would write a work order to run new service drop and increase signal strength. As you might expect, no improvement so I repeated everything early this PM and will see their service tech on Sat PM. By almost any standard Comcast is the absolute worst company in America. I just wish that the money being spent in DC to get the merger through was spent on improving infrastructure. We can only hope... "
"Jamie of Modesto, CA",42073,1,"For the last 6 months the internet is constantly going down and when you call customer service you are on hold forever and all they do is tell you, ""Yes an outage has been reported"" and claim to credit your account but have nothing about the constant outages! If I ran my business like this I would be shut down! Where is the accountability? This company is horrible. They always tell you ""Oh the outage should be resolved in 2 to 4 hours or more!"" Then you get a call or text saying it's resolved and you try your internet and it is still down??? One time the customers service guy told me it's because a lot of people in my area are streaming and it slows the internet down??? What the heck how can this be ok?? I would never recommend Comcast. They are just as bad if not worse than AT&T......."
"rosa of Atlantic City, AL",42072,1,"I have been a Comcast customer for over 15 years. Customer service have declined. I had appointment March 5, 2015. They never showed nor did they give me a courtesy call. I called, inquiring about the technician. She told me he had to cancel Due to the weather. I ask the women, ""Why didn't anyone call and inform me?"" She said they did. I told her, ""No one called,"" so she reschedule for the next day. I am waiting and waiting so I called. She said, ""They're running late. They're coming."" Another no show. I called and insisting on speaking with management. She put me on hold for forty five minutes only to get back on the phone to tell me her supervisor was too busy to answer the complaint...he would call back. The supervisor never called back. I work from home so I lost money because of this. This company is horrible. I think the problem is the language barrier."
"Claire of Nashville, TN",42072,1,"I've had Comcast for almost 2 years due to there not being any other options in my area. I haven't had major problems aside from random charges and increases on my bill. For the past month and a half, however, my internet stopped working completely. We had the basic Internet package of 25 Mbps. I would call every few days and they would ""reset the connection"", only for it to work for a few hours then stop again. They had no open appointments for almost 2 weeks for a tech to come out.When he finally did, he spent an hour working on our modem but only changed out a cord. I ran an Internet speed test through both the Comcast and Geek Squad sites (which took forever to load) before he left and both told me the Internet speed was about 5 Mbps. I asked the tech to check out the modem again and he finally got it to 12 Mbps but only when the Ethernet cord was plugged in. He told me, verbatim, ""You aren't ever guaranteed wifi, only Internet when you have the Ethernet cord plugged in."" REALLY?My roommate has a MacBook air which doesn't even have an Ethernet outlet. He basically said that was the best he could do and left. The Internet worked for about 2 days and then stopped again. I called back only to be on the phone for an hour and a half, transferred 7 times (because no one could figure out what was wrong), and then was told, ""The Internet appears to be working properly from our end but we could send a tech out for $70 to take a look at it"". I continually asked to be transferred to a rep in the US because I couldn't understand what they were saying and kept trying to get me to upgrade to an Internet bundle with home phone service. Who even has a home phone anymore? I was only connected to a U.S. rep when I told them I wanted to cancel my service, which I did. I also was told I wouldn't pay for the Internet for the time it was out which they had documented due to my numerous calls, but guess what? My bill doesn't reflect any type of price adjustment. I will NEVER use this excuse for a company again and would rather flush my money down the toilet than pay for their non-working crap. It's a shame they can get away with treating customers the way they do."
"Carry of Hyde Park, MA",42071,1,"I called Comcast to up my internet speed. They told me I would have to pay 12/month for 50 mps. I did not know I was only getting 25 mps with my regular service. I tested my upload/download speed with their utility and I wasn't getting anything better than 32 mps. I called support and spent a total of 10 hours on two calls with tech support. The second call I was transferred 6 times. On the first call, the tech kept saying they could not see my device online so I was not connected to the internet. I told them I was on a VOIP line so it was impossible that I wasn't connected to the internet. This conversation went on for 30 min. I was on a 30 day trial for a new contract. I had been a customer for 17 yrs. They were going to send out a technician but I insisted that I not be charged for this visit no matter what the outcome. No one would commit to that so I canceled the visit. On the day that the visit was supposed to be canceled a guy shows up at my door saying he is with Xfinity home security. He explained that he traveled 2 hours to get to my house and had paperwork that said I called. I told him we don't have the security package, never did. He sat with me for almost an hour and agreed that this was all a major blunder but said to go ahead with the new product installation as I was dropping Comcast and if I wanted to come back he would personally handle the contract. I said fine and the following week had their major competitor installed. Since install I have consistently had 58-63 mps with the internet and that's with 4 laptops, 1 Ipad and two phones. In addition, the competitor bundle of internet, TV and phone is 15$/month cheaper than what I had been paying for all three. Also, I have HD coming in on my TV which I did not have with Comcast. Have to admit that the new service does have less channels but for the price and service it is worth it. Besides, we don't watch a lot of TV anyway."
"s. g. of Milltown, NJ",42071,1,"We moved in here 4 months back. First our modem was connected to someone else address for more than a month and it took them nearly 1 month to fix it and send someone. Then it continuously goes off 20 times during in a day. As a consumer we don't have a choice as Optimum is not a provider here, only Comcast. Why is monopoly allowed?We had Optimum previously in our other previous town and they are the best. They will be there to fix anything within an hour even during Sunday. When there was no power they put a battery to make the Internet work. Now that is what I call service. Comcast really don't care as they know you do not have much choice except get internet from them. I am not sure what the councilors and Mayors are doing about this kind of monopoly."
"Robert of Portland, OR",42070,1,I helped a friend set up a Comcast service. She's had service with them for over fifteen years and pays 180 dollars a month and they never cut her a break. I have a different carrier and I was using my phone to try to set things up. Now when I try to log on to my wifi at home it takes me to xfinity.com and I have centurylink. I want to cut off my connection with Comcast.
"Robin of Fort Myers, FL",42185,2,"After filing a complaint with https://www.fcc.gov/ & better business bureau I received a call and was credited for my entire account less the 150.00 I paid in advance. I am satisfied with these results. It's sad I have to go to these lengths to correct issue. ** Executive Office Number! If you need it but no help unless you file a complaint with link above. Then you will see results.Original ReviewSigned up for X1 Blast package not quite 2 weeks ago. Was told install was free & I would not receive a bill until 30 days after I started my service. I was told install tech would be here the next day between 5 & 7 pm. I was given my phone number and paid my deposit for all 3 service.The day of the install I received a call saying something went wrong on their end and they would have to reschedule my install for 2 days later. I was not happy with that. I was able to get the next day instead, so I was ok with it. They had to run my deposit again. I confirmed that the phone number they gave me was still going to be the same as original they gave me. I explained I was ordering new card & t-shirts with the new number and wanted to make sure there was no chance of the number being different. I was assured that the number was the same. So I placed my order.The next day when tech showed up I was informed that the number was a different number! After about 4 phone calls and almost 3 hours on the phone with I forget how many different operators trying to get a supervisor, because the operators did not have the authority to correct the number. I just spent 1000.00 on my order! I could not change it due to a mistake on my end. The Supervisor was able to correct it! I was very happy.Not even 2 weeks go by and I get a email from Xfinity saying my video bill was due???? So I watch it and I'm thinking maybe a tutorial on my video bill. WRONG!!! IT WAS A BILL!!! I had a bill over $200.00. It is only supposed to be 112.00 including tax a month. I was charged an additional 39.95 for the installer to show up and 40.00 for hooking 2 cable lines to 2 box's 20.00 a box! So install was 89.95. My house was already wired and ready. I was also charged for half a month's service and tax. I called and was informed that the info the 1st operator told me was not true that they always bill 2 weeks after service and I would get another bill in a few days for a full month service. That on occasions they do offer free install but it was not in my notes. So there was no chance of getting that removed from my bill. I requested that they pull the recording of my conversation with the original representative. I was told it was possible that it was not recorded. HMMM... Imagine that!!She said she would put in a request for her manager to remove the $40.00 but the manager was off till Monday, it was Friday. I was also told that if it was removed it would come off the next bill statement not the current one. She recommended I pay it all now. That the next bill may be adjusted! She said she would call me Tuesday to let me know the decision. It is now Saturday and I have already received another email telling me my bill was due AGAIN! I just got the first bill yesterday! It is not even due till for another 10 days! I am awaiting the call on Tuesday. Will update this on outcome!"
"Brea of Greenwood, LA",42070,1,"My comcast internet drops connection every 30 mins to an hour. This has been going on for 2 years. They have sent at least 15 techs to my house and the last 4 were suppose to fix a leak at the pole out side but they never showed up. Every time I call in they make promises of fixing the issue but no tech ever shows up. They have charged me for the 1st 2 techs last year ""which they did not fix problem"", charged me for mailing me new cable boxes but when the techs showed up said I didn't need them and took the boxes with them. I've had promises and rudeness when I call in"" which is at least 2 to 3 times a month begging for help with these issues"". If you think about this- itäó»s theft and false advertisement...Not getting what I paid for and horrible service. This does not even include issues with the cable tv."
"Lee of Sarasota, FL",42068,1,"Comcast/Xfinity SUCKS!! ** should be fired on the spot! I didn't leave the chat, This dumbass ** closed the chat!! This is like the 3rd time going to Live Chat with NO RESOLUTION!!!! Xfinity SUCKS!!! Plus, their internet speed is SOOO SLOW compared to FIOS. I already have business FIOS and they couldn't even get my xfinity modem to work, which the first guy said it should work anyways. I just got sent a new modem to me today from them and it still don't work. The month since I ordered is ticking away and yet to even get any internet service from XFINITY. I'll make sure to make a blog post, so I can leave a review for others to read."
"Ted of Riviera Beach, FL",42067,1,"In the beginning...There was installation. I was quoted one price and charged $40 more. This was mitigated by the installer being 4 hours late and being credited $20 against the $40 they overcharged me. So I moved from a condo with free basic DirecTV that I upgraded with pay channels and a DVR, then went through a local company for internet access (great access from a fly-by-the-night ISP, I clocked them at 70+mbs).I moved to a condo that offered free basic Xfinity (Comcast) TV. So (even after past miserable experiences) to go with the free stuff...who wouldn't! So I got it installed (as described above). I will say that the internet and wireless access has been flawless for two months (color me shocked!). But this DVR is crap! It's slow, laggy, and the controls are counter-intuitive. When something doesn't work as expected and you keep pressing the ""OK"" button (because of the God awful lag), it deletes your program! I'd kill to have my DirecTV DVR back. It worked exactly as you expect. Comcast has obviously cut too many corners on hardware."
"Fancy of Miramar, FL","Feb. 28, 2015",1,"I have consistently called Comcast about a misrepresentation of a promotional product. I was told one thing but given something else. I called 3 times and the calls ended with they will have someone call me. Nothing. The new modem was not working properly and my internet was interrupted. I placed a service call and a technician came and spent 5 minutes to fix the problem and 40 minutes on his phone. I jokingly say that I hope I'm not being charged for this time. He laughed. Here we are a month later, I am charged a $60 wiring fee. I called to dispute the charges and I was told someone would call me back. Nothing. I called again today and was advised the technician declared it was a valid charge. When I asked to speak with the tech dept, I was told they don't speak with customers. I asked to speak with a supervisor - none available. Go figure. The customer rep says ""ma'am just to let you know this charge is a valid charge and will not be removed sorry"". This is ridiculous that a tech could write whatever he wants and customers just have to deal with it. Worst company."
"Mariza of Chicago, Other","Feb. 28, 2015",1,"The Internet and cable services are down since Friday, and all we hear is promises. They are lying to our faces, promising they will come since this morning. Since this morning, we talked to at least 6 different people and they pretend they never received a phone call. Every time you call, they say they do not know what we are talking about. We have saved all the confirmation numbers that could verify the basic facts of our claim."
"Jason of Lowell, MA","Feb. 25, 2015",2,"First off, the fact that their product wasn't working properly was already a bad start and secondly, terrible customer service just ruined the whole mood. Hereäó»s what happened. My Internet was not working properly and when I had called the customer service, they were absolutely wonderful - treated me with respect and all. But here comes the bad part. They directed me to the Advanced Wireless Department and some whacko picks up the phone half-awake answering the phone with a very dreadful ""Hello?"" Very professional (Sarcasm). So I was telling him about what was happening with my Internet and halfway in, I hear the guy yawn and hang up the phone! The worst part about it is that this guy might be doing this to OTHER customers with no punishment whatsoever. Goes to show Comcast hires some very bad workers. Disappointed."
"Michele of Olathe, KS","Feb. 24, 2015",1,"The only reason I am giving Comcast a one star review is because I don't have the option of giving them none. We have been customers for 17 years. In recent years, we have experienced enormous problems with our service. Just like the previous reviewer, we were roped into the Triple Play package and blatantly lied to about what it consisted of. Our home phone never worked, cable was going out routinely, and internet would go down. We finally eliminated the phone ""service"" and were charged out the yin yang for doing so. We kept the cable and internet. One day I went to log onto my email and it told me the password was incorrect. I knew it wasn't, but when I tried to change it and it asked for my secret question, it wouldn't accept the answer that I know was correct. I spent a grand total of SIX hours, for three days straight, on the phone with Comcast customer ""service"". Every time they would reset the account and I would create new passwords, it would lock me out again the next day. After getting four different customer service reps on the line, I finally got one who transferred me to a supervisor. He immediately got on the phone and told me that he couldn't help me change my password because I was not an ""authorized"" user. Not an authorized user? The account is in my husband's name with me listed as an authorized user and has been for 17 years. He uses AOL email. I gave them all identifying information, to include social security numbers and he still wouldn't assist me. As a result, I was unable to access email and had to deal with angry customers because I was unable to respond to them. Can you say furious? My husband was so livid, he called them back and, of course, they showed me as an authorized user. We dumped Comcast within 48 hours. You can't understand half of what the customer service reps say, they don't know what they're doing, and equally as important, their services are completely unreliable. Shame on these incompetent bozos! They lost customers of almost two decades that paid in excess of $300 for services. Joke of a company. I do mean joke. Don't waste your time or hard earned dollars. Go with a provider that knows how to hire, train, and run a company. Horrible organization."
"joe of Grand Rapids, MI","Feb. 23, 2015",1,"Had the worse experience that I had with any company or anyone!!! Can't talk to anyone on the phone and when you do it does no good because they DO NOT do anything they say they will. Almost doubled my rate that they (supposedly) signed me up for. You have to take the equipment back to THEM as they say they will not pick it up. They can pick it up out of my dumpster if they want it - I will treat them like they treated me.I'm canceling this lousy, lying, two-faced, sorry excuse for a business and going to Triton. Comcast also lies to you about how many megabytes you need to have to order so as to attempt to drive folks toward the higher priced Mbps and Triton offers 8 Mbps (more than most any company needs) that they guarantee will do me better than Comcast's 105 Mbps @ over a 100 bucks where Triton charges 29.95 per month with a 50.00 one time installation and this is a month to month agreement rather than having to sign up to Comcast for much longer periods of time. SO I SAY COME AND GET YOUR CRAP EQUIPMENT BECAUSE YOU ARE HISTORY TO ME AND I HOPE ANYONE WILL THINK TWICE BEFORE GETTING INVOLVED WITH THIS RIPOFF COMPANY!!!!!"
"dan of Washington, DC","Feb. 23, 2015",1,"We decided to upgrade our cable to HD and increase our internet speed. Comcast scheduled us with a technician to install the new x1 cable box and upgraded modem. When the technician arrived he setup the new box but did not bring a new modem. After he left our internet stopped working and I could not access the HD channels, when I select an HD channel it tells me to call and subscribe. The entire point was to upgrade to HD. Now I have no internet and still no HD. I called Comcast and after 2.5 hours and being transferred 7 times. I still have no internet and my HD channels still do not work. To top it all off they want to charge me to have another technician come out. Not sure why I deal with this company, except they are the only cable provider available."
"Rita of Atlanta, Other","Feb. 19, 2015",1,"Admittedly I have never had an issue with Comcast in the past, but today I spoke with several employees and didn't run into a problem until I asked for a tech to come out to my home and fix what were apparently unable to do in several hours of phone conversation and virtual ""tech support"". There is only so much of that you can do, if it's just not working. I'm a tech savvy person and I had reached the end of my patience for something that was supposed to be ""easy"". I was told the fee would be waived and I was being transferred.That happened and all hell broke loose. This woman raised her voice, said she'd have to charge me, and that ""she does this all day long"". I asked for her manager and she said she'd ""transfer"" me. She hung up on me instead. I called back, he made me troubleshoot some more, then begrudgingly said a tech could come by Sat. . it's Wed. This is totally unacceptable. I can't wait until Google Fiber comes and breaks up this monopoly."
"Carol of Boulder, CO","Feb. 18, 2015",2,"I have had Xfinity/Comcast for years and have been pretty happy. A few weeks ago I noticed a channel had disappeared and so I called to find out why. The employee proceeded then to sell me more services since it wouldn't cost me too much more money than what I was paying. Well, the equipment arrived and when it wouldn't automatically work I contacted Xfinity again. This employee shared what this new stuff was going to cost me and so I cancelled.So, a few hours later I had no cable and called again. This person got the cable working but unbeknownst to me he reset what I had just cancelled. So, I returned the equipment and saw my bill a day ago and contacted them again since the bill was over 200% what I had been paying. So, he helped me out but told me to call customer service to finalize everything. I did. But, instead of finalizing my cancellation he proceeded to try and sell me the same thing I had already cancelled twice. WTH is going on here?"
"Andrew of Longmont, CO","Feb. 15, 2015",1,"If anyone thinks that Comcast is not aware of what they are doing, they are deluding themselves. Utter genius to create a monopoly selling a product that does not work, in fact, gets progressively worse, then sell ""upgrades"" to improve service (which do not work either). This is exactly why net neutrality is so vital. These corporate criminals will not react to any of our consumer pleas so long as they can extort profits from us for peddling garbage, unchecked and unregulated."
"Dexter of Bloomington, IN","Feb. 14, 2015",1,"Boy what a day. First, a Comcast guy shows up at our door and tells me he needs $223.00 or he is going to collect my modem. I explained to him that I owned the modem and he would not be taking it. I asked why he wanted $223 and he told me our bill had not been paid since October. Interesting, since we do direct payment through IU credit union. Bernice got online and transferred the data from IU to a note pad and we showed this to him. I also explained that we have two accounts in Bernice's name and if he would check, the excess money would be under that account and that Comcast had many times in the past, applied all of the payments to one account and then showed the other account past due.He wouldn't even look into it and told me our service would be disconnected. OK, so I took both bills to Comcast, waited in line to see the lady behind the counter, and finally after 30 minutes, got to talk to someone who I thought might get this corrected. I explained to her what was wrong and sure enough she checked and found an excess of $308 on the second account which is Bernice's sister's account that we also pay. So I said, ""there you have, just transfer that money over to the other account."", ""I can""t do that"". WHAT? She showed me a printout and told me I needed to show her which payments needed to be transferred. I told her I would need to be looking at our computer to be able to do that, and asked for her phone number so Bernice could call her. She told me she couldn't give me her phone number. So what do I do? Her response, ""I DON'T KNOW"".My next comment was, ""I am paying you for a service, you have my money, your records even show that you have my money, and you can't transfer my money to the correct account, because Comcast applied it to the wrong account. Ma'am, do you understand that is theft of service, a criminal offense?"" Well she really didn't care, and she got huffy with me. This is what our country has come to, a big corporation makes a mistake and then refuse to correct it, and they just don't care about a customer who has paid their bill since 1999."
"walter of Palm Coast, FL","Feb. 11, 2015",1,"Ordered just internet service and wireless hot spots. Stopped working immediately way before I could even get my cable modem sent to me. Called in to fix and technical support either could not figure out the problem, or hung up on me, or passed me around to different departments. I stayed on the phone waiting for hours always to be hung up on or told to call back the next day and it would be fixed. Never happened. I even was given case numbers but that did not help. Then they send me the wrong cable modem and I had to drive to a store to exchange it myself as it did not work. Then back to endless hours on the phone and being passed around and hung up on.I escalated to supervisors several times that promised me they would fix the issue but no luck. I even gave up and just tried to cancel my service all together at that point (3 times) but the reps are so incompetent they could not even complete that (got passed to different departments then hung up on again). It took over 2 weeks and this is not an exaggeration, 20+ phone calls to finally get someone who knew what to do and finally get me up and running. This person 'Ricardo' agreed I was treated unfairly and said he would definitely have billing adjust my account so I would not be charged for 2+ weeks of service I did not have and hours of frustration on the phone. He assured me he put in the proper notes and requests to adjust my billing. Well sure enough when the bill came absolutely no discounts and I was charged way more than I should have been. This by far has been the worst customer support from a corporation I have ever experienced in my life. I have never dealt with a company so dysfunctional, disorganized, and clueless about such a simple thing as activating an internet account. I would gladly pay more for a much slower service if there was one around but Comcast/Xfinity seems to have the monopoly on this area in Jacksonville where I just moved to. What I learned is most people have such a difficult time with this company as well so something should be done about their poor service."
"Crissi of Indianapolis, IN","Feb. 10, 2015",1,"I set up internet through Comcast when I moved to a new place. It didn't work for almost 2 weeks and when they finally sent someone, they charged me $39.95 for it and refused to remove it from my account. Even though I was told it would be free and even though it was their equipment outside that didn't work! I had to fight with them to get a credit for the couple weeks that it didn't work. Every time I've been on the phone with them and asked them to note my account, the rep leaves something totally different! Finally, today the customer service rep told me that ""I should have to pay for the technician because internet is luxury, not a utility"" and that it was my choice to have the service installed. I've had my fill with them once and for all. Switching to AT&T. They aren't much better, but hell I'm finding out anything is better than Comcast these days!"
"Richard of Lyndhurst, NJ","Feb. 9, 2015",1,"Refuse to honor contract. It's been going on two years, still having problems. They try to do the bait and switch game. Who can I contact to help me. Thank you."
"jeff of Atwater, CA","Feb. 8, 2015",1,"Comcast uses refurbished internet equipment for most of their services. Comcast told me that my gateway will only last 2 months, then I will have to replace it. I already replaced it 3 times."
"Audrey of Salem, OR","Feb. 8, 2015",1,"When we sign up with Comcast and we had so much problem with the Internet needing rebooted then after our 3rd call they said would send someone out but they were going to charge us or if we needed to sign up and spend another $4.99 a month on a nearly $200 for a monthly service plan. Well we chewed them out and what do you know we haven't had Internet problems since but our cable is bad. Today we went to do a down grade on our cable because we needed to cut expenses, because our rent went up. They said that they were going to charge us a ""cancellation fee""! We told them we are not cancelling just reducing. They said that our contract is for what we have right now and that we can only up-grade but cannot down grade. Well at the end of the school year, our son is home schooled, we are just going to stop paying them. We don't care about our credit because it is already bad because my husband kept losing jobs because of his disability, but now he has his SSD. We are just going to take our laptop to our local library for Internet, get a digital converter for TV, and we have Safe Link for our phone so we will save tons of money once we get rid of this joke of a company."
"Terri of Richmond, VA","Feb. 8, 2015",1,"Roku informed me I did not have internet access. I called Comcast. At every step I was required to provide my phone, address, and last 4 of my social. This was magnified as my call was repeatedly ""dropped"" and I had to start over with reps who were patronizing and difficult to understand at times. They passed me from person to person until I finally insisted they send someone to solve the problem, thereby avoiding being passed on interminably thru the system without solving the problem."
"Matthew of Nowhere, KY","Feb. 5, 2015",1,"I signed up for Comcast Internet when I moved into my new home, and was overjoyed to have fast internet again after being without it for a few months. I signed up for their 50mbps Blast! plan, and had a tech come install it, but used my own modem. Everything was just fine until 7 days in, I received an e-mail from Comcast warning me that I was near my ""data cap"". I was utterly confused and immediately logged in to my account to find out what it was referring to. I had never even HEARD of any company having a data cap on their internet service.Sure enough, 7 days in, I was at 268 GB out of the 300 GB allowed. I instantly saw red. I did some research and was horrified to learn of their data cap policies and getting charged overages. I wasn't even using what I considered a large amount of data. Even with their highest internet tier, the cap is only 600 GB. with 50+ mbps, that is frighteningly simple to surpass in just days. All of the information I acquired about their cap was from forums. There was little to no useful information on their actual website to better inform me as to what my options were.I don't understand how it is even legal to instill such an abysmal cap in the first place, much less not make you aware of such a thing until you are virtually past it. This data cap combined with TERRIBLE customer service, almost daily e-mails reminding me about my bill (which obviously was never paid), and other shady tactics they use to rob people of hundreds of dollars, forced me to switch to a company with a substantially lower internet speed. I have no data cap however, and am still perfectly able to use the internet for everything I need/want on a daily basis. My opinion is that everyone else should do the same to give Comcast and companies like them to put an end to this kind of nonsense, and actually serve their customers, instead of mistreat/cheat them. AVOID COMCAST AT ALL COSTS!"
"Praveen of Walnut Creek, CA","Feb. 5, 2015",1,"The very first time, when I moved to new apartment, I scheduled an appointment and they came 2 hr after the scheduled time. Then they fixed a router that was dropping wifi connection all the time, and later turned out to be faulty (there was also numerous references online about the issue with that model). I scheduled another appointment, as I was not able to use it coz of Comcast issue. But they charged me like some $100. Later when I called customer care and complained, they waived that off. After replacing the equipment in the second visit, it went fine for some time. Then new issue popped up - very frequent loss of connection and the router was going offline. Troubleshooted with remote support for more than 20 times. Their remote support is the most worthless support I have seen from many service providers. Only thing they can do is remote restart and finally asking us to manually reset the router. Two times, onsite technician came and fixed some issue with their outside switches and boxes, and it started working fine for few months. Then issue resurface again. Only thing I continue with Comcast is there is no other real alternative."
